round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,3,A,3,0.045,0.044,0.051,0.049,0.04,0.04,0.041,0.04,0.0405,0.0395,0.0045,0.0045,
3,3,B,3,0.043,0.043,0.047,0.047,0.038,0.041,0.038,0.04,0.038,0.0405,0.005,0.0025,
3,3,C,3,0.064,0.056,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.025,0.017,
3,3,D,3,0.042,0.041,0.048,0.045,0.041,0.04,0.04,0.038,0.0405,0.039,0.0015,0.002,
3,3,E,3,0.127,0.126,0.047,0.044,0.04,0.039,0.04,0.038,0.04,0.0385,0.087,0.0875,
3,3,F,3,0.065,0.064,0.049,0.045,0.04,0.038,0.041,0.038,0.0405,0.038,0.0245,0.026,
3,3,G,3,0.058,0.05,0.048,0.046,0.04,0.04,0.039,0.039,0.0395,0.039,0.0185,0.011,
3,3,H,3,0.043,0.041,0.047,0.044,0.04,0.038,0.04,0.038,0.04,0.0385,0.003,0.0025,
3,3,A,4,0.064,0.061,0.048,0.047,0.04,0.039,0.041,0.04,0.0405,0.0385,0.0235,0.0225,
3,3,B,4,0.105,0.094,0.049,0.049,0.04,0.041,0.04,0.041,0.04,0.0405,0.065,0.0535,
3,3,C,4,0.05,0.05,0.048,0.044,0.039,0.037,0.04,0.038,0.0395,0.039,0.0105,0.011,
3,3,D,4,0.11,0.104,0.049,0.048,0.04,0.04,0.041,0.041,0.0405,0.039,0.0695,0.065,
3,3,E,4,0.083,0.073,0.048,0.048,0.041,0.043,0.039,0.042,0.04,0.042,0.043,0.031,
3,3,F,4,0.05,0.047,0.047,0.046,0.039,0.04,0.039,0.04,0.039,0.041,0.011,0.006,
3,3,G,4,0.175,0.151,0.049,0.047,0.041,0.042,0.038,0.039,0.0395,0.041,0.1355,0.11,
3,3,H,4,0.192,0.173,0.047,0.044,0.039,0.039,0.041,0.04,0.04,0.039,0.152,0.134,
3,3,A,5,0.059,0.043,0.047,0.045,0.039,0.038,0.04,0.039,0.0395,0.039,0.0195,0.004,
3,3,B,5,0.049,0.046,0.047,0.045,0.038,0.039,0.039,0.04,0.0385,0.039,0.0105,0.007,
3,3,C,5,0.043,0.042,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.039,0.0035,0.003,
3,3,D,5,0.045,0.043,0.047,0.046,0.039,0.039,0.039,0.039,0.039,0.039,0.006,0.004,
3,3,E,5,0.104,0.175,0.047,0.048,0.039,0.041,0.039,0.042,0.039,0.04,0.065,0.135,
